customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
santa maria da vitoria,13,11,84.62,3.230769230769231,13,-13.388511807675545,-44.200330598756146
rio negrinho,13,12,92.31,4.3076923076923075,13,-26.25613891864582,-49.52153209709076
itanhandu,13,12,92.31,4.166666666666667,12,-22.296792750248095,-44.93676307851959
jardinopolis,13,13,100.0,4.769230769230769,13,-21.185523236454266,-47.91558896069319
aluminio,13,11,84.62,3.4615384615384617,13,-23.524098716525277,-47.25667632200116
mirandopolis,13,12,92.31,4.230769230769231,13,-21.13196600532693,-51.10317704295319
tupaciguara,13,13,100.0,4.384615384615385,13,-18.597147554238756,-48.69718085755292
ivoti,13,12,92.31,4.384615384615385,13,-29.605286893562898,-51.16427789211877
itapecerica,13,13,100.0,4.3076923076923075,13,-20.469754462066163,-45.12324240731254
maracaju,13,12,92.31,4.461538461538462,13,-21.622807014494487,-55.16419800267772
jaguare,13,13,100.0,4.615384615384615,13,-18.908357421714662,-40.07600553740822
divino,13,13,100.0,4.538461538461538,13,-20.610108566038743,-42.146371443505956
sao miguel arcanjo,13,13,100.0,4.0,13,-23.877282149728565,-47.99218701340264
quixada,13,12,92.31,4.0,13,-5.18981590856276,-38.92210141157139
tres marias,13,11,84.62,4.076923076923077,13,-18.20813589322185,-45.22590288321793
bom jesus,13,13,100.0,4.384615384615385,13,-16.92610559681335,-47.62251901837086
teodoro sampaio,13,13,100.0,4.538461538461538,13,-22.290531348716698,-51.85588908603854
descalvado,13,13,100.0,4.6923076923076925,13,-21.908634153727803,-47.6195840295051
bocaiuva,13,13,100.0,4.230769230769231,13,-17.11610103098384,-43.812085415930156
irece,13,12,92.31,3.6153846153846154,13,-11.303960420328108,-41.856084010354735
sacramento,13,13,100.0,3.5384615384615383,13,-19.87001133113846,-47.44411447792482
loanda,13,13,100.0,4.846153846153846,13,-22.929383785209307,-53.13587259427024
parati,13,12,92.31,3.769230769230769,13,-23.216823125628373,-44.7054115387903
taiobeiras,13,13,100.0,4.615384615384615,13,-15.812215251340339,-42.22709529057218
guaramirim,13,13,100.0,4.076923076923077,13,-26.473533296244547,-48.983797686859155
paty do alferes,13,11,84.62,4.3076923076923075,13,-22.418274922857183,-43.42106083194769
ariquemes,13,12,92.31,4.076923076923077,13,-9.910527745214482,-63.03555499768102
sao joao,12,11,91.67,4.5,12,-23.64699366517741,-50.62474269814193
assis chateaubriand,12,11,91.67,3.75,12,-24.402021416487024,-53.51740411970834
ipameri,12,12,100.0,3.9166666666666665,12,-17.708782130349086,-48.15033976578793
vargem grande do sul,12,12,100.0,4.25,12,-21.834918641034367,-46.89918572591992
salto de pirapora,12,10,83.33,4.083333333333333,12,-23.650084860226972,-47.577740424892745
mendes,12,12,100.0,4.0,12,-22.526046307478865,-43.73322381234702
casa branca,12,11,91.67,4.583333333333333,12,-21.789190389997472,-47.07232828087684
italva,12,11,91.67,4.0,12,-21.423866388317172,-41.6919526852605
engenheiro coelho,12,11,91.67,4.416666666666667,12,-22.487817723352375,-47.20455471253452
cacoal,12,12,100.0,3.6666666666666665,12,-11.43225261490951,-61.45064715626852
tres de maio,12,12,100.0,3.9166666666666665,12,-27.776352525696826,-54.23580473443577
pontal,12,12,100.0,4.75,12,-21.0264930112105,-48.03716928656765
sao pedro,12,10,83.33,3.9166666666666665,12,-22.357420762718466,-47.87620871558915
tabapua,12,12,100.0,4.583333333333333,12,-20.963829158335304,-49.032245402837326
santo antonio da platina,12,12,100.0,3.75,12,-23.294925922118843,-50.07503490875768
sao lourenco da serra,12,12,100.0,4.416666666666667,12,-23.856102636467103,-46.94928030114029
conceicao do mato dentro,12,12,100.0,4.166666666666667,12,-19.022922559503417,-43.42363422446117
sao goncalo do amarante,12,10,83.33,4.083333333333333,12,-4.864240201423809,-36.839624709558265
goiana,12,12,100.0,4.833333333333333,12,-9.269067469410661,-36.00080666518951
aperibe,12,10,83.33,4.0,12,-21.62582034731358,-42.10482247378425
santa helena,12,11,91.67,3.8333333333333335,12,-19.834390912449148,-52.155412445177554
sao sebastiao do cai,12,11,91.67,4.5,12,-29.58711390357883,-51.36181227502288
brotas,12,12,100.0,4.416666666666667,12,-22.282154968038324,-48.12510155957027
conceicao de macabu,12,11,91.67,4.5,12,-22.087437512898582,-41.86767159399783
quata,12,12,100.0,4.666666666666667,12,-22.247148863745284,-50.70076560304049
carmo,12,9,75.0,3.8333333333333335,12,-21.932343210229536,-42.607432292496306
jose bonifacio,12,12,100.0,4.166666666666667,12,-21.05754769178621,-49.68860904224457
mangaratiba,12,9,75.0,3.1666666666666665,12,-22.94754369418293,-44.01336532217898
macatuba,12,12,100.0,4.333333333333333,12,-22.514093447641567,-48.71694212220494
pires do rio,12,11,91.67,4.333333333333333,12,-17.305108052105656,-48.28212587529559
raul soares,12,11,91.67,4.333333333333333,12,-20.095874844538972,-42.44291346825205
tapiratiba,12,11,91.67,4.166666666666667,12,-21.472495940036872,-46.74849920183369
pilar do sul,12,11,91.67,4.5,12,-23.81197455444591,-47.72290759681854
alta floresta,12,12,100.0,4.583333333333333,12,-9.90209628377088,-56.14798246464171
lucelia,12,11,91.67,4.5,12,-21.723160607561347,-51.01929454402222
chavantes,12,12,100.0,4.583333333333333,12,-23.039678343494334,-49.70849675119676
abaete,12,11,91.67,4.166666666666667,12,-19.15854932136434,-45.44627527095028
andradas,12,11,91.67,3.9166666666666665,12,-22.07047143353818,-46.57354819165932
flores da cunha,12,12,100.0,4.5,12,-29.035394792614365,-51.18365745783099
sao jose do vale do rio preto,12,11,91.67,4.5,12,-22.174996914066053,-42.93582057844612
camaqua,12,12,100.0,4.083333333333333,12,-30.853336771294757,-51.80821362811722
ibipora,12,12,100.0,4.416666666666667,12,-23.26918379949858,-51.052901654946886
capanema,12,12,100.0,4.181818181818182,11,-14.390598404721555,-50.75124374097172
matozinhos,12,12,100.0,4.25,12,-19.56083264961986,-44.075581349214794
santa vitoria do palmar,12,12,100.0,4.416666666666667,12,-33.51236075773834,-53.3498721268575
serra negra,12,12,100.0,4.666666666666667,12,-22.614621137795265,-46.709593428612386
pirajui,12,12,100.0,4.416666666666667,12,-21.996745957039256,-49.45481907946646
costa rica,12,9,75.0,3.9166666666666665,12,-18.540974232449358,-53.13274009236252
paraguacu,12,12,100.0,4.083333333333333,12,-21.550144828384624,-45.734843992673234
ibate,12,11,91.67,4.416666666666667,12,-21.950402759949124,-48.00217405846561
cangucu,12,12,100.0,4.25,12,-31.395018960733974,-52.677321254827724
santa gertrudes,11,10,90.91,4.7272727272727275,11,-22.453204812282447,-47.534630057614194
alvinopolis,11,11,100.0,4.2727272727272725,11,-20.11150606065766,-43.066597730401426
quissama,11,11,100.0,3.909090909090909,11,-22.10924665095022,-41.47002941743877
corinto,11,11,100.0,4.454545454545454,11,-18.365786615134013,-44.454401934788834
itapiranga,11,11,100.0,4.090909090909091,11,-26.884049044090407,-53.76557472747636
mostardas,11,11,100.0,4.363636363636363,11,-31.102961069926018,-50.91340742099437
andira,11,11,100.0,4.0,11,-23.048411332218812,-50.22989397409513
paranapanema,11,10,90.91,4.6,10,-23.39052038930712,-48.739124969520915
jequitinhonha,11,11,100.0,4.363636363636363,11,-16.440336187363684,-41.009185123828935
itamaraju,11,9,81.82,4.0,10,-17.036945722043964,-39.53454174478864
maravilha,11,10,90.91,3.8181818181818183,11,-25.8336468230158,-52.3417170765292
tres passos,11,10,90.91,3.8181818181818183,11,-27.45484787531057,-53.93337183684629
rio brilhante,11,10,90.91,4.8,10,-21.79842220216582,-54.54346342674206
coronel vivida,11,10,90.91,4.2727272727272725,11,-25.984865711694923,-52.567600711297544
guararema,11,11,100.0,4.636363636363637,11,-23.404915542335686,-46.04306997289354
treze tilias,11,10,90.91,3.6363636363636362,11,-26.99851531834536,-51.4123016179445
correia pinto,11,10,90.91,4.090909090909091,11,-27.584160958831593,-50.36622459794297
taquari,11,11,100.0,4.454545454545454,11,-29.79261154979131,-51.86124955771729
santa cruz do capibaribe,11,11,100.0,3.4545454545454546,11,-7.9494377848089295,-36.20948977742265
coxim,11,8,72.73,3.272727272727273,11,-18.50726515886232,-54.74875310212911
mantena,11,10,90.91,3.909090909090909,11,-18.777954733022707,-40.98336116136959
raposos,11,11,100.0,4.363636363636363,11,-19.966156003176412,-43.80531972631105
sao joao batista,11,9,81.82,4.181818181818182,11,-26.222850301496557,-48.6764105703139
minacu,11,11,100.0,3.8181818181818183,11,-13.52821831097916,-48.22131905209901
boa esperanca do sul,11,10,90.91,4.3,10,-21.993393564514324,-48.390385180509796
santo amaro da imperatriz,11,8,72.73,3.5454545454545454,11,-27.687414607255857,-48.771889137271614
abreu e lima,11,11,100.0,3.8,10,-7.911567810572414,-34.91298599014977
aracoiaba da serra,11,11,100.0,4.7272727272727275,11,-23.51503482346672,-47.609932002466735
goitacazes,11,9,81.82,4.2727272727272725,11,-22.027840547757584,-41.666329101309444
timon,11,9,81.82,3.4545454545454546,11,-5.102446021570266,-42.83396103652862
lagarto,11,8,72.73,3.8181818181818183,11,-10.916178696284797,-37.67161895543462
